mail	imei	birthdate	username	user_id	address	ssn	job	registration	current_location	company	name
pattonjason@gmail.com	863033069630348636	2006-01-09	vwashington	1491	"548 Christine Crossroad Suite 850
South Cheryl, HI 99671"	549-96-2840		2019-05-19		Davis and Sons	William Davis
william98@hotmail.com	863033069630348859	1952-04-27	lawsontiffany	17	"91275 Case Well
Charlesburgh, VI 47192"	082-51-3701		2023-07-08	(Decimal('2.5777375'), Decimal('49.537526'))	Murphy Inc	William Fisher
kellyjames@gmail.com	8630330696303481982	1953-12-11	nicole80	745	"5808 Key Turnpike
Brittanymouth, MP 38939"	282-65-1993	Biomedical scientist	15 Aug 2022	(Decimal('25.5423705'), Decimal('75.549933'))	Smith Group	Danny Hernandez
hurstmonica@gmail.com	3590433799317662287		gphelps	2232	"2629 Stephen Corner
South Charleston, PW 70815"	221-86-6388		05 Nov 2017	(Decimal('-49.2035725'), Decimal('-21.500530'))	Miller-Garza	Stephanie Ritter DVM
robertadams@gmail.com	8630330696303481453		toddking	2211	"20963 Henry Mountains
East Lauratown, OH 90856"	772-63-9584	Architectural technologist	2018-08-06	(Decimal('-84.708586'), Decimal('-142.263754'))	David-Grimes	Alicia Soto
qwhite@yahoo.com	3590433799317661750		carlsontimothy	2205	"73673 Ramos Loaf Suite 123
Kylefurt, MS 45366"	453-96-3028		2020-03-13	(Decimal('16.5217005'), Decimal('7.481009'))	Allen LLC	Jennifer Snyder
moralesjames@yahoo.com	3590433799317661446	1950-10-17	emilywilliams	1902	"54680 Estrada Estate
Andreport, MA 57184"	149-23-3842	Legal secretary	2019-01-14	(Decimal('-51.831089'), Decimal('38.371928'))	Cruz Ltd	Elizabeth Sanchez
mark86@hotmail.com	3590433799317662154	1998-05-27	brittany97	1072	"06111 Christopher Shores Suite 838
Port Melissamouth, OK 77247"	404-73-6003	Merchant navy officer	01/07/2021, 00:00:00	(Decimal('-67.282412'), Decimal('-142.934276'))	Bradshaw, Thompson and Simmons	Mary Johnson
brittney52@gmail.com	8630330696303481107	1986-10-26	smithvictor	563	"4260 Kelsey Course
Susanshire, KY 34326"	029-56-9203	Teacher, secondary school	21 Aug 2022	(Decimal('-12.566555'), Decimal('-167.946466'))	Walters PLC	Jacob Arellano
alexanderterry@hotmail.com	8630330696303481206	2001-02-21	shawjacqueline	1795	"PSC 0160, Box 8532
APO AP 76121"	271-14-4757		11/22/2019, 00:00:00	(Decimal('-66.8617825'), Decimal('-58.560135'))	Franklin-Welch	Nicole Aguilar
gonzalesmegan@gmail.com	8630330696303482113		htate	1373	"7215 Tonya Run Suite 393
Stewartmouth, SC 85153"	688-68-6699	Sub	2020-06-13	(Decimal('-21.9757405'), Decimal('-177.729274'))	Moore Ltd	Elizabeth Lucero
tracy79@yahoo.com	359043379931766890		weekseric	145	"99558 Bowers Road
Baldwinmouth, DE 28577"	196-26-2910	Nurse, mental health	24 Oct 2023	(Decimal('23.6663205'), Decimal('-135.813105'))	Gray Ltd	Sarah Green
chenrebecca@yahoo.com	3590433799317662378	2001-02-01	pphillips	2041	"43996 Herring Bypass
Phyllisview, NC 83630"	452-83-7802	Facilities manager	03/29/2019, 00:00:00	(Decimal('88.6740815'), Decimal('129.537157'))	Stone, Russo and Buchanan	Samuel White
bryantdavid@gmail.com	8630330696303481602	1949-05-29	dwaynemacdonald	649	"8606 Kimberly Forks Suite 644
Loganchester, NV 97918"	874-70-9988		2022/12/16	(Decimal('-84.307773'), Decimal('80.491457'))	Evans-Goodman	Dr. Jonathan Castillo PhD
nealcourtney@yahoo.com	863033069630348461		gordon28	2408		780-01-2556		2023-03-09	(Decimal('37.870738'), Decimal('-155.346195'))	Keller PLC	Kimberly Colon
qmason@gmail.com	8630330696303481032	2013-10-04	ljohnson	912	"561 Rodriguez Street
New Nicholebury, AS 10827"	373-61-0806		03/08/2019, 00:00:00	(Decimal('-54.076622'), Decimal('-6.901845'))	Harrington-Krueger	Brian Nelson
torresjames@gmail.com	359043379931766171	1953-06-26	theresaherring	283	"992 Lucas Trail Apt. 827
Martinezville, DC 42443"	601-59-0795		10/01/2023, 00:00:00	(Decimal('27.5367945'), Decimal('77.955547'))	Ferrell, Payne and Jackson	Donald Roberts
andersonkenneth@gmail.com	8630330696303481164		benjamin14	2280	"3071 Garcia Turnpike Suite 424
New Erin, MA 24742"	086-54-1705		2022/06/26	(Decimal('-75.8889425'), Decimal('-150.170938'))	Kelly Group	Mary Hall
enewton@hotmail.com	3590433799317661677	2020-07-31	timothysmith	1501	"49427 Garcia Causeway
Lake Brian, IL 56514"	839-25-1464		2020/09/29	(Decimal('-79.812537'), Decimal('-175.127837'))	Smith, Mitchell and Brown	Maria Delgado
pricelouis@yahoo.com	359043379931766387		clarence30	2416	"57991 Sullivan Gardens
Lake Sharonview, AS 69891"	271-57-6338		2019/01/20	(Decimal('-20.801312'), Decimal('-60.071631'))	Walsh, Weber and Brown	Brad Nelson
amorales@gmail.com	3590433799317661552		andrew59	1725	"838 Kevin Vista Suite 472
Lake Jessica, WA 38475"	431-29-8353	Public affairs consultant	04/16/2018, 00:00:00	(Decimal('77.757747'), Decimal('-103.013919'))	Brown, Hull and Zuniga	Anthony Little
hooveralicia@yahoo.com	863033069630348917		ywoodard	1584		012-06-1714		2019/01/08	(Decimal('38.081740'), Decimal('1.376426'))	Chapman-Garcia	Robert Walker
onealerin@hotmail.com	8630330696303481909		traci57	633	"0863 Lindsay Stream Apt. 374
South Brandychester, FL 53158"	239-25-0328	Economist	10 Mar 2024	(Decimal('-44.0973685'), Decimal('-83.451743'))	Castillo PLC	James Mcmahon
christienelson@yahoo.com	359043379931766973	1986-08-20	adamnorris	221	"58515 Herbert Keys Apt. 581
South Edward, KY 28991"	721-58-8284		2021/09/22	(Decimal('-78.8207595'), Decimal('100.671142'))	Fowler, Lewis and Burton	Sean Hernandez
keith18@yahoo.com	8630330696303481305		wanderson	2181	"30702 Randy Mews
Ryanmouth, NE 87072"	114-47-0125	Technical brewer	2017/11/22	(Decimal('-13.4055495'), Decimal('-178.424506'))	Flowers-Padilla	Michael Wright
cummingsshawn@gmail.com	3590433799317661354		ewyatt	335	"549 Thomas Corner Suite 000
Andrewchester, OH 30496"	369-59-3814		2020-06-27	(Decimal('9.939615'), Decimal('-93.535581'))	Hansen LLC	Traci Smith
linda32@gmail.com	863033069630348594		marywright	2004	"672 Alvarez Canyon
Katherineshire, OH 39745"	888-01-2103	Local government officer	12/23/2018, 00:00:00	(Decimal('-78.433546'), Decimal('15.214660'))	Brown, Osborne and Davis	Peter Acosta
lshea@gmail.com	359043379931766601	1935-09-09	mckenzie39	2182	"PSC 8346, Box 5585
APO AA 76720"	390-01-0304	Purchasing manager	2021-04-15	(Decimal('-29.978335'), Decimal('-141.501654'))	Huffman-Robinson	Elizabeth Beasley
morganlevy@yahoo.com	8630330696303482006	1973-04-09	maria89	318	"612 Charles Springs Apt. 090
Thomasbury, PR 86062"	745-94-4422	Writer	2022/05/15	(Decimal('31.030969'), Decimal('86.852347'))	Brown LLC	Jennifer Mccall
stacy16@yahoo.com	3590433799317661248		lisa44	1206	"06088 Tyler Road Suite 642
West Christopherfort, NM 32420"	441-30-5280	Health and safety adviser	09 Mar 2022	(Decimal('48.426512'), Decimal('107.386173'))	Case-Harris	Michelle Velasquez
johnsonjohn@gmail.com	863033069630348784		villarrealbrandon	2076	"4989 Lam Summit Apt. 684
East Shelley, MA 02477"	425-45-4834	Operational researcher	2023/07/06	(Decimal('-73.621064'), Decimal('107.921369'))	Harper, Sanchez and Townsend	Brent Thornton
derrick87@gmail.com	863033069630348909		lauramccann	344	"951 Rachel Ramp Apt. 986
Amyburgh, VA 26754"	125-90-9291		20 Jul 2022	(Decimal('37.5919205'), Decimal('79.343843'))	Russell, Durham and Owens	Shelby Martinez
abrown@gmail.com	8630330696303482162	1993-01-12	corey88	549	"66911 Philip Pines Apt. 960
East Michael, SD 14252"	223-40-4543	Armed forces technical officer	02/26/2022, 00:00:00	(Decimal('-5.728063'), Decimal('125.460566'))	Paul-Collier	Anthony Weaver
claydavid@hotmail.com	359043379931766957		balvarado	1458		452-42-3948		2020/05/02	(Decimal('2.638279'), Decimal('110.913790'))	Miller, Harrison and Burgess	Gina Lowe
adam63@gmail.com	8630330696303481420	1919-12-24	kristadean	2583	"71224 Rachel Lane Apt. 478
North Emilytown, RI 69820"	235-23-1531	Production assistant, radio	12 Dec 2023	(Decimal('-76.872055'), Decimal('-27.185409'))	Flynn LLC	Brandon Strickland
dianabrooks@hotmail.com	863033069630348743	2018-09-07	ajohnson	520	"7931 Victoria Hollow
Mckinneyton, IL 60484"	185-05-9540		2019/08/10	(Decimal('72.826562'), Decimal('15.985919'))	Holt and Sons	Stephanie Huynh
eric35@hotmail.com	863033069630348685		tiffanywilliams	1153	"15989 Hill Alley Suite 163
South Ericborough, DE 97882"	463-86-3906		2019-09-25	(Decimal('-51.933375'), Decimal('-37.672063'))	Blair, Thomas and Marshall	Wendy Williamson
russojennifer@hotmail.com	3590433799317662402		sharongarcia	1559	"2868 Jacobs Groves Apt. 661
Martinezhaven, CA 95976"	585-94-3170	Tree surgeon	2019-02-24	(Decimal('-45.8159865'), Decimal('93.101399'))	Turner-Smith	April Houston
melissa83@hotmail.com	8630330696303481420		loriherring	160		774-38-4985		15 Jun 2019	(Decimal('41.492957'), Decimal('-113.886580'))	Scott-Frye	David Long
wilsonrodney@hotmail.com	3590433799317661016		danielle53	1568	"4323 Charles Isle Suite 595
Richardport, PA 23773"	796-98-1297	Loss adjuster, chartered	09/15/2023, 00:00:00	(Decimal('49.0917115'), Decimal('50.032399'))	Jones, Brown and Webster	Jason Myers
jaimeriggs@gmail.com	8630330696303482493		cole53	246		789-32-5500	Engineer, control and instrumentation	05/09/2021, 00:00:00	(Decimal('-37.017577'), Decimal('124.173060'))	Santana Group	Daniel Martinez
smithchristopher@gmail.com	863033069630348669		keith11	110	"9736 Rojas Spring Apt. 921
South Sheila, DC 48464"	410-66-5482		10 Apr 2019		Mccoy-Clark	Theresa Jones
wfernandez@yahoo.com	8630330696303481644	1961-09-11	epeterson	1224	"91041 Philip Mall
Robinsonton, ND 50795"	172-57-7864	Adult nurse	08/27/2020, 00:00:00	(Decimal('15.8524305'), Decimal('-152.002586'))	Moon-Finley	Marc Lowery
benjamingerald@gmail.com	3590433799317662352		caitlin42	986	"PSC 0277, Box 8468
APO AP 25282"	024-72-2593		20 Jul 2024	(Decimal('-89.3589235'), Decimal('84.103376'))	Campbell-Baxter	Kathy Buchanan
ewright@gmail.com	3590433799317661396		jennifer04	2048	"08053 Anderson Knolls
Gonzalezport, GA 52686"	734-35-6656	Special educational needs teacher	2018/10/21	(Decimal('-51.204870'), Decimal('139.259767'))	Chung-Cooley	Nicholas Davis
randydiaz@gmail.com	3590433799317661404		levybrian	2211	"3525 Gonzalez Island Suite 447
Arroyomouth, PW 56471"	778-04-9025		01/06/2018, 00:00:00	(Decimal('83.799758'), Decimal('97.861118'))	Nelson-Holland	John Roberts
wrios@gmail.com	3590433799317661289	2014-01-16	tonyaflores	2000	"17682 Julie Causeway Suite 433
North Stevenland, KS 78148"	168-03-3906	Animal nutritionist	05/27/2021, 00:00:00	(Decimal('63.160672'), Decimal('58.389172'))	Long-Dixon	Bryan Pierce
jeremyross@yahoo.com	863033069630348958	1985-12-23	yrodriguez	1751	"749 Teresa Extension
Robertport, KS 31610"	614-20-0049		2020-01-07	(Decimal('78.798057'), Decimal('168.376873'))	Kirby, Martin and Morgan	James Murphy
james63@yahoo.com	359043379931766965		sherrithompson	816		647-65-5654		2022-01-31	(Decimal('44.2055915'), Decimal('-28.838999'))	Jackson Inc	Tiffany Hall
troy19@hotmail.com	359043379931766940		michaeldaniel	401	"7056 Maria Lodge
West Edwardbury, VA 14907"	840-42-7119		04 Nov 2023	(Decimal('35.221217'), Decimal('150.444789'))	Williams Ltd	Mary Gregory
jessicamueller@yahoo.com	359043379931766106		conleydenise	43	"39834 Ross Circles
North Sandra, PR 77209"	189-06-6210		2021-01-25	(Decimal('30.3158495'), Decimal('-13.981963'))	French, Carter and Rodriguez	Richard Gibson
amandalucas@hotmail.com	863033069630348396	2003-07-14	collinsgeorge	1535	"51741 Hardy Ranch
Danielside, MA 82969"	547-84-7952	Dealer	10/20/2023, 00:00:00	(Decimal('-85.0851775'), Decimal('-169.864671'))	Mccall Ltd	Charles West
ericamartinez@yahoo.com	863033069630348008	1967-11-27	danielvasquez	1901	"273 Matthew Keys Apt. 584
Michaelbury, SD 77019"	639-26-3501	Advice worker	16 Aug 2024		Pope Ltd	Kevin Barber
esmith@yahoo.com	8630330696303481925		gomezkatherine	399	"43039 Bruce Ports Apt. 707
West Michelleville, ID 60092"	773-17-1237	Therapist, speech and language	02/03/2023, 00:00:00	(Decimal('-4.712236'), Decimal('-35.877067'))	Garcia-Macias	Katherine Camacho
ray50@hotmail.com	3590433799317662253		cwilliams	479	"9089 Heather Plains Apt. 946
East Keithbury, NM 53947"	555-43-6941	Tourist information centre manager	2019/11/04	(Decimal('-27.9937165'), Decimal('-117.656144'))	Aguirre-Orr	Tracy Rodriguez
erin48@gmail.com	8630330696303481941	1998-08-13	harveychristine	2292	"209 Eric Knolls Apt. 355
South Matthewshire, WA 69247"	356-94-5161		2018/11/07	(Decimal('25.343255'), Decimal('-27.660769'))	Esparza-Wilson	Chase English
tmoore@yahoo.com	863033069630348511	2012-03-08	tburke	356	"7148 Ellis Circles Suite 178
Andreland, MD 66471"	359-26-3619	Chief of Staff	04/01/2019, 00:00:00	(Decimal('43.678124'), Decimal('-120.813533'))	Ford, Perez and Jacobson	Nancy Ramsey
paulmeadows@yahoo.com	3590433799317662055	1919-03-22	chungraymond	805	"907 Martin Plaza Apt. 688
Carlsonfort, OR 06200"	568-14-5329		15 Jan 2020		Griffith, Ross and Hill	Jacqueline Owen
morrowheather@yahoo.com	8630330696303482162	2005-09-13	kristie03	573		161-85-8251		28 May 2021	(Decimal('16.9149665'), Decimal('-8.184862'))	Rhodes-Cruz	Ashley Booth
dominique20@gmail.com	359043379931766114		adamsharry	1486	"38863 Kimberly Walk Apt. 072
Port Scottborough, CA 32815"	153-86-1858		20 Nov 2020	(Decimal('-14.4896375'), Decimal('119.488848'))	Ferguson-Carson	Kevin Love
berrywilliam@gmail.com	3590433799317661669		webergregory	573	"349 Martin Green Suite 309
South Rachelmouth, ID 57572"	676-70-2753		06 Mar 2022	(Decimal('-3.495447'), Decimal('112.194052'))	Whitehead PLC	Lisa Mason
emilywashington@hotmail.com	8630330696303481545		hesterjennifer	45		715-78-6749	Statistician	2019/12/07	(Decimal('2.759950'), Decimal('120.275221'))	Alexander and Sons	Michelle Jacobson
pjackson@gmail.com	3590433799317661958		joseph39	2414	"0431 Lopez Underpass Suite 185
East Josephberg, LA 59341"	334-33-8392		2018-08-27		Fuller LLC	Jeffrey Macdonald
cruztroy@yahoo.com	3590433799317661065		beardzachary	781	"9245 Zachary Highway
North Patrick, MI 93314"	454-14-3195		2022-02-18	(Decimal('48.3632095'), Decimal('-26.448887'))	Smith-Lucas	Joseph Garza
hillmary@yahoo.com	8630330696303481552	1954-07-19	adamharris	2422	"24826 Tammy Corner
North Dennis, MN 78190"	091-86-7953	Biomedical scientist	2022-08-28	(Decimal('-19.917426'), Decimal('77.102480'))	Schmidt PLC	Ronald Pierce
conleysteven@gmail.com	359043379931766825	1936-11-18	xweaver	574	"6479 Michelle Turnpike
Wilcoxport, AZ 42123"	496-03-5903		2023-07-30	(Decimal('23.395715'), Decimal('-145.069857'))	Gilbert Inc	Caitlyn Hooper
xjordan@gmail.com	8630330696303481495		schultzelijah	719	"14512 Sanchez Springs Apt. 398
Ramseyberg, OK 25655"	003-65-6073		2021/09/16	(Decimal('49.8446075'), Decimal('-150.174000'))	Bruce-Torres	Billy Williams
rita98@yahoo.com	3590433799317662311	2005-11-15	hmiller	452	"USNV Jennings
FPO AA 08722"	550-13-0739		02/01/2022, 00:00:00	(Decimal('-89.3747045'), Decimal('-35.335027'))	Jones Ltd	Shane Allen
steven94@hotmail.com	8630330696303482139	2008-09-19	zjames	309		791-87-6950		2022-04-04	(Decimal('-16.8338655'), Decimal('-175.937909'))	Jones LLC	Meredith Salinas
angel50@gmail.com	3590433799317661909	1979-02-24	michaelmcmillan	699		108-59-2098		2020/12/26	(Decimal('48.233150'), Decimal('90.591419'))	Sanders-Scott	Zoe Mckee
ronald53@gmail.com	3590433799317661222		joseph70	1479	"9493 Collins Fields Apt. 846
Norrisstad, HI 64750"	811-93-1630	Health and safety adviser	2018-08-03	(Decimal('-23.1912715'), Decimal('-174.441873'))	Holmes Inc	Dr. April Wilson
melanie66@gmail.com	863033069630348784	1921-02-07	andrewwinters	421	"69420 Golden Valleys Apt. 260
Port Alisonview, DE 90824"	079-08-0628	Armed forces logistics/support/administrative officer	20 Mar 2024	(Decimal('-8.2985885'), Decimal('-7.542286'))	Hurst-Myers	Christy Price
christinedavis@hotmail.com	8630330696303481388	2002-10-23	julie45	1872	"353 Andrew Way Suite 409
Hernandezfurt, SD 54044"	136-51-1153	Broadcast presenter	2019-02-26	(Decimal('-45.081634'), Decimal('76.294466'))	Bray, Hopkins and Reynolds	Mary Young
cookmeagan@hotmail.com	8630330696303482295	1979-09-06	yvillarreal	1446		074-13-5652	Designer, interior/spatial	16 Feb 2020	(Decimal('28.4631525'), Decimal('-145.339578'))	Lowe-Morrison	Susan Medina
davisaustin@gmail.com	3590433799317662097		garrettcarpenter	577	"0271 Cole Camp
Kristaberg, MP 47963"	200-76-8037		08 Jan 2022	(Decimal('-30.468485'), Decimal('29.956324'))	Robinson LLC	Kyle Lawrence
jenniferanderson@gmail.com	863033069630348875		benitezsandra	1614	"6149 Pamela Pines Apt. 444
Michelleberg, IL 04804"	008-62-8241		04/09/2019, 00:00:00	(Decimal('-69.308770'), Decimal('-165.453813'))	Robinson, Wright and Mcconnell	Manuel Walters
anthony48@yahoo.com	863033069630348198	1947-04-27	bhuffman	714	"71676 Anderson Rapid
Tuckershire, LA 63880"	014-73-7102	Field trials officer	2018-02-22		Lamb-Cannon	James Pena
griffinerin@gmail.com	359043379931766288		ryan63	987	"466 Frances Ports Suite 757
West Stephenton, DE 70335"	740-71-0201		01/06/2020, 00:00:00	(Decimal('58.3811765'), Decimal('72.555618'))	Galloway Group	Brian Welch
jason12@hotmail.com	359043379931766429	2016-03-13	vrussell	2495		283-09-7517		07/15/2018, 00:00:00	(Decimal('81.1396845'), Decimal('91.771225'))	Summers, Duarte and Anderson	Margaret Lyons
kellytaylor@gmail.com	8630330696303481347		justin04	2059	"50413 Avila Circle Suite 382
East Joeshire, NH 92317"	033-71-1250	Lecturer, further education	2020/08/22	(Decimal('89.7811865'), Decimal('-84.095619'))	Barnes Ltd	Troy Brown
acastro@yahoo.com	3590433799317661529		vkey	296	"USS Brooks
FPO AE 71968"	423-40-7364		09/06/2024, 00:00:00	(Decimal('80.0946235'), Decimal('15.333372'))	Gonzales Ltd	Kimberly Vincent
alexandrastanley@yahoo.com	3590433799317662238		ccabrera	1820	"688 Wallace Coves Suite 659
Collinstown, NC 93631"	009-25-4668		04/04/2024, 00:00:00	(Decimal('70.599263'), Decimal('-110.060239'))	Kemp-Sanchez	Angela Christensen
lfrancis@gmail.com	863033069630348925		gmclean	2434		268-75-2334		05 Feb 2022	(Decimal('-1.4127295'), Decimal('-92.391319'))	Lowery, Boone and Guerra	Joshua Hayden
bmcdonald@hotmail.com	863033069630348628		bellelizabeth	1155	"3728 Mejia Knolls Suite 935
South Ashleychester, OK 84923"	596-85-8549		11/30/2022, 00:00:00	(Decimal('55.9975845'), Decimal('163.260139'))	Castro, Benson and Dixon	Maureen Ward
andrew64@hotmail.com	8630330696303481461	1920-04-07	jjackson	1502	"6916 Bailey Forges Suite 300
New Thomas, RI 92234"	242-77-1039		04/16/2020, 00:00:00	(Decimal('-71.805316'), Decimal('-87.613812'))	Galvan-Lopez	Douglas Castillo
lyonssarah@hotmail.com	8630330696303481115	1990-07-18	kimallison	960	"96821 Rose Trafficway Suite 294
North Jeremy, ND 34852"	657-79-3669	Legal secretary	07/12/2019, 00:00:00	(Decimal('5.271978'), Decimal('48.473115'))	Robles, Flynn and Weber	Emily French
jeremyevans@hotmail.com	359043379931766973	1960-06-30	edward21	2362		734-53-3766		2021/02/04	(Decimal('-30.348580'), Decimal('132.099836'))	Burgess Inc	Mary Gardner DVM
jennifer54@gmail.com	359043379931766163	1964-12-22	bryandana	1745		633-11-0059	Ambulance person	01 Aug 2024		Lynn-Reed	Alicia Howard
deborahfox@hotmail.com	8630330696303482030		mary27	100	"418 Smith Squares
Lauramouth, DE 14277"	657-12-7637		2024/03/06	(Decimal('46.2844665'), Decimal('74.397509'))	Rangel Inc	Matthew Williams
lesliejohnson@yahoo.com	359043379931766684		hancockcharles	1199	"62544 Andrew Forges Apt. 119
Christopherborough, WA 16169"	816-73-2680		09/05/2021, 00:00:00		Gill, Cameron and Vance	Larry Adams
valerie74@gmail.com	8630330696303482469		danielmaureen	1276	"2003 Sean Run Suite 613
Martinport, TX 91692"	860-09-1232		2018-07-21	(Decimal('10.1259385'), Decimal('-27.644175'))	Cunningham Inc	Steve White
